Customer_ID,Age,Employment_Status,Location,Account_Tenure
CUST0001,56,EMP,Los Angeles,18
CUST0002,69,Self-employed,Phoenix,0
CUST0003,46,Self-employed,Chicago,1
CUST0004,32,Unemployed,Phoenix,15
CUST0005,60,Self-employed,Phoenix,11
CUST0006,25,Unemployed,New York,7
CUST0007,38,employed,New York,17
CUST0008,56,EMP,New York,1
CUST0009,36,Employed,Phoenix,12
CUST0010,40,EMP,Los Angeles,5
CUST0011,28,Unemployed,Chicago,5
CUST0012,28,Unemployed,Chicago,8
CUST0013,41,EMP,Los Angeles,15
CUST0014,70,retired,Los Angeles,10
CUST0015,53,Unemployed,Chicago,6
CUST0016,57,Self-employed,Houston,9
CUST0017,41,Self-employed,New York,9
CUST0018,20,Unemployed,New York,19
CUST0019,39,Unemployed,Chicago,17
CUST0020,70,retired,Los Angeles,19
CUST0021,19,Self-employed,Houston,8
CUST0022,41,Unemployed,Chicago,14
CUST0023,61,Unemployed,New York,3
CUST0024,47,retired,Phoenix,7
CUST0025,55,retired,Los Angeles,8
CUST0026,19,EMP,Phoenix,12
CUST0027,38,retired,Chicago,8
CUST0028,50,Employed,New York,3
CUST0029,29,Self-employed,Houston,16
CUST0030,39,EMP,Phoenix,15
CUST0031,61,Employed,Houston,14
CUST0032,42,Unemployed,New York,2
CUST0033,66,Unemployed,Phoenix,19
CUST0034,44,EMP,Houston,4
CUST0035,59,retired,Houston,4
CUST0036,45,Unemployed,Phoenix,19
CUST0037,33,employed,New York,14
CUST0038,32,EMP,Houston,17
CUST0039,64,Employed,Chicago,14
CUST0040,68,EMP,Phoenix,1
CUST0041,61,Self-employed,Los Angeles,12
CUST0042,72,retired,Los Angeles,3
CUST0043,69,retired,New York,9
CUST0044,74,EMP,Chicago,12
CUST0045,20,Unemployed,Houston,9
CUST0046,54,Unemployed,Los Angeles,8
CUST0047,68,employed,New York,7
CUST0048,24,employed,Chicago,2
CUST0049,38,retired,Chicago,15
CUST0050,26,employed,New York,13
CUST0051,56,Employed,New York,8
CUST0052,35,employed,Houston,10
CUST0053,21,Employed,New York,2
CUST0054,42,employed,Houston,4
CUST0055,31,retired,Houston,9
CUST0056,67,retired,Phoenix,12
CUST0057,26,Employed,Chicago,3
CUST0058,43,EMP,Chicago,12
CUST0059,70,retired,Chicago,11
CUST0060,19,EMP,Phoenix,4
CUST0061,37,Unemployed,Houston,9
CUST0062,45,Employed,Houston,8
CUST0063,64,retired,New York,19
CUST0064,24,Self-employed,Phoenix,6
CUST0065,61,Unemployed,New York,1
CUST0066,25,EMP,Phoenix,6
CUST0067,64,retired,New York,7
CUST0068,52,Employed,Los Angeles,6
CUST0069,31,employed,Chicago,13
CUST0070,34,Self-employed,Chicago,18
CUST0071,53,EMP,Houston,4
CUST0072,67,Unemployed,Los Angeles,17
CUST0073,57,Employed,Chicago,19
CUST0074,21,Self-employed,Houston,11
CUST0075,19,Employed,Los Angeles,16
CUST0076,23,retired,Chicago,12
CUST0077,71,employed,New York,1
CUST0078,59,Unemployed,Phoenix,12
CUST0079,21,Employed,Los Angeles,6
CUST0080,71,EMP,Houston,9
CUST0081,46,retired,Los Angeles,5
CUST0082,35,retired,Houston,2
CUST0083,43,Unemployed,Los Angeles,2
CUST0084,61,retired,Houston,17
CUST0085,51,EMP,Chicago,10
CUST0086,27,Employed,New York,19
CUST0087,53,Unemployed,Chicago,4
CUST0088,31,retired,New York,18
CUST0089,48,retired,Chicago,18
CUST0090,65,EMP,Chicago,14
CUST0091,32,employed,Los Angeles,15
CUST0092,25,employed,Phoenix,8
CUST0093,31,retired,Houston,3
CUST0094,40,Employed,Houston,14
CUST0095,74,Unemployed,Houston,11
CUST0096,57,retired,New York,2
CUST0097,38,Self-employed,Houston,13
CUST0098,33,Unemployed,Houston,16
CUST0099,62,employed,Los Angeles,18
CUST0100,35,retired,Chicago,5
CUST0101,64,EMP,Houston,3
CUST0102,70,Self-employed,Phoenix,6
CUST0103,41,retired,Houston,18
CUST0104,43,Employed,New York,16
CUST0105,42,Self-employed,New York,15
CUST0106,62,retired,New York,14
CUST0107,58,Employed,Houston,7
CUST0108,46,Self-employed,Los Angeles,18
CUST0109,32,Employed,Phoenix,7
CUST0110,62,Employed,Houston,17
CUST0111,18,Self-employed,Los Angeles,15
CUST0112,42,Self-employed,Los Angeles,19
CUST0113,24,Employed,Houston,18
CUST0114,26,employed,Houston,9
CUST0115,41,Self-employed,Los Angeles,16
CUST0116,18,retired,Los Angeles,12
CUST0117,61,Unemployed,Los Angeles,12
CUST0118,25,EMP,Houston,6
CUST0119,41,Employed,Los Angeles,9
CUST0120,28,Employed,New York,1
CUST0121,68,EMP,Houston,3
CUST0122,34,employed,New York,5
CUST0123,25,EMP,Chicago,17
CUST0124,52,Self-employed,Houston,5
CUST0125,52,EMP,Chicago,16
CUST0126,50,Employed,Los Angeles,13
CUST0127,22,EMP,Los Angeles,10
CUST0128,59,Unemployed,Phoenix,18
CUST0129,56,retired,Los Angeles,1
CUST0130,58,Self-employed,Chicago,2
CUST0131,45,EMP,Los Angeles,10
CUST0132,24,Employed,Houston,5
