Customer_ID,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6
CUST0001,Late,Late,Missed,Late,Missed,Late
CUST0002,Missed,Missed,Late,Missed,On-time,On-time
CUST0003,Missed,Late,Late,On-time,Missed,Late
CUST0004,Late,Missed,Late,Missed,Late,Late
CUST0005,Missed,On-time,Missed,Late,Late,Late
CUST0006,On-time,Late,Missed,Missed,Missed,Late
CUST0007,On-time,Missed,Missed,Late,Missed,Late
CUST0008,On-time,On-time,On-time,Late,Missed,Late
CUST0009,On-time,On-time,On-time,Missed,Late,On-time
CUST0010,On-time,Missed,Missed,On-time,Missed,Missed
CUST0011,On-time,Late,Missed,Missed,On-time,Late
CUST0012,On-time,Missed,Missed,Late,On-time,Late
CUST0013,Late,Late,Missed,Late,On-time,On-time
CUST0014,On-time,Missed,Missed,Missed,On-time,On-time
CUST0015,Late,Missed,Late,Late,Late,Late
CUST0016,Missed,On-time,Late,Missed,Missed,Late
CUST0017,Late,Missed,On-time,Missed,Missed,Late
CUST0018,On-time,On-time,Late,Late,On-time,Late
CUST0019,Missed,On-time,On-time,Late,On-time,Missed
CUST0020,Late,Missed,Late,Late,Late,Missed
CUST0021,Late,Late,On-time,On-time,On-time,Late
CUST0022,Missed,Missed,On-time,On-time,Late,Missed
CUST0023,Late,On-time,On-time,On-time,Late,On-time
CUST0024,Late,Late,Late,On-time,Late,Late
CUST0025,On-time,Missed,Missed,Missed,Late,Late
CUST0026,Late,Missed,On-time,Late,Missed,On-time
CUST0027,Missed,On-time,Missed,Missed,Missed,On-time
CUST0028,Missed,On-time,Late,Late,Missed,On-time
CUST0029,Late,Late,Missed,On-time,Late,On-time
CUST0030,Late,On-time,On-time,On-time,Late,On-time
CUST0031,On-time,Missed,Late,Missed,On-time,Missed
CUST0032,On-time,Late,Late,On-time,On-time,Missed
CUST0033,Late,Late,Late,Late,Late,On-time
CUST0034,Missed,Late,Late,Missed,On-time,Missed
CUST0035,On-time,Missed,Late,Late,On-time,Late
CUST0036,Missed,Missed,Missed,On-time,On-time,On-time
CUST0037,Late,Missed,Missed,On-time,On-time,Missed
CUST0038,Missed,On-time,On-time,On-time,Missed,On-time
CUST0039,Late,On-time,Late,Missed,Missed,On-time
CUST0040,On-time,Late,Late,On-time,On-time,On-time
CUST0041,Late,Missed,Late,On-time,Late,Late
CUST0042,Late,On-time,Late,On-time,Missed,Missed
CUST0043,On-time,Late,Late,Late,Missed,Missed
CUST0044,On-time,Late,On-time,Missed,Missed,Late
CUST0045,On-time,Missed,On-time,Late,On-time,Late
CUST0046,On-time,Late,Missed,Missed,Late,On-time
CUST0047,Missed,Missed,On-time,Late,Missed,Late
CUST0048,On-time,Late,On-time,Missed,On-time,On-time
CUST0049,Late,On-time,On-time,On-time,Missed,Late
CUST0050,Late,Missed,Missed,Late,On-time,Missed
CUST0051,Missed,Late,On-time,Late,Late,On-time
CUST0052,Late,Missed,Late,Late,Missed,On-time
CUST0053,Missed,Missed,Late,On-time,On-time,Missed
CUST0054,Late,Missed,On-time,On-time,On-time,Missed
CUST0055,Late,On-time,On-time,On-time,Late,Late
CUST0056,On-time,Late,Late,On-time,Late,Late
